beam 0,beam 1,beam 2
0.12657425045739154,0.12254775793751305,0.12843028662000516
0.13664084078304015,0.13275790780127325,0.13563099207654544
0.12785245966246897,0.12634114776972688,0.12708102045179628
0.12769353756381863,0.12582945522297312,0.12479991992583592
0.12487456539543555,0.12319187492904536,0.12038570867936065
0.12155636486088535,0.11980503054879958,0.11654459074110955
0.14241926078445677,0.14134966777873398,0.13648649782430367
0.1352544089725943,0.13448332918492212,0.13191751288069353
0.18549916205798558,0.18498592257415786,0.18447293447293447
0.15559309535780125,0.16032126696832577,0.1650497737556561
