joint 0,joint 1,joint 2,joint 3
3.1335069542492406,1.6162242606038912,1.6162242606038912,3.133533867718972
2.5437288174730894,1.4570557693548511,1.4570557693548511,2.5437527694099824
2.361306313787232,1.5641963478263239,1.5641963478263239,2.3613317796754356
2.444736518210557,1.6002750432637014,1.6002750432637014,2.4447590902478282
2.52593738924877,1.6361213204049538,1.6361213204049538,2.5259559098947357
2.451715201840413,1.5760551903326376,1.5760551903326376,2.4517295870610982
2.9277135531801464,1.8865051944902937,1.8865051944902937,2.9277276124407305
2.255822930554771,1.436562425209261,1.436562425209261,2.255830644886005
2.9481489428038996,1.905594839646838,1.905594839646838,2.948150088179227
NA,NA,NA,NA
