floor weight,floor dead load,floor live load,beam dead load,beam live load,leaning column dead load,leaning column live load
3301.995,105.0,40.0,2940.0,1120.0,606.7449999999999,213.90666666666667
3291.5550000000003,105.0,40.0,2940.0,1120.0,603.2650000000001,213.90666666666667
3291.5550000000003,105.0,40.0,2940.0,1120.0,603.2650000000001,213.90666666666667
3291.5550000000003,105.0,40.0,2940.0,1120.0,603.2650000000001,213.90666666666667
3291.5550000000003,105.0,40.0,2940.0,1120.0,603.2650000000001,213.90666666666667
3291.5550000000003,105.0,40.0,2940.0,1120.0,603.2650000000001,213.90666666666667
3291.5550000000003,105.0,40.0,2940.0,1120.0,603.2650000000001,213.90666666666667
3291.5550000000003,105.0,40.0,2940.0,1120.0,603.2650000000001,213.90666666666667
3291.5550000000003,105.0,40.0,2940.0,1120.0,603.2650000000001,213.90666666666667
4284.34,140.0,75.0,3920.0,2100.0,769.5533333333335,401.075
