beam 0,beam 1,beam 2,beam 3,beam 4,beam 5,beam 6,beam 7,beam 8
0.5663590865983824,0.535259359963496,0.5375975067216074,0.5373604380458995,0.5373777514010474,0.5373604380458995,0.5375975067216074,0.535259359963496,0.5663590865983824
0.5377989331417905,0.5303256530212357,0.5299320887329505,0.5300000876519971,0.5299787006454452,0.5300000876519971,0.5299320887329505,0.5303256530212357,0.5377989331417905
0.5999407505714186,0.6002190922011844,0.600512584242954,0.6004765091189066,0.6004735079660666,0.6004765091189066,0.600512584242954,0.6002190922011844,0.5999407505714186
0.5766223031358773,0.582349351179202,0.5825125719107495,0.5824801340647454,0.5824682897052058,0.5824801340647454,0.5825125719107495,0.582349351179202,0.5766223031358773
0.5072412758168888,0.5142139239066368,0.5145236638776527,0.5143651387273218,0.5143600196986263,0.5143651387273218,0.5145236638776527,0.5142139239066368,0.5072412758168888
0.4594176971163857,0.4817230145722914,0.48130128032153663,0.48115772655056116,0.48114759388021844,0.48115772655056116,0.48130128032153663,0.4817230145722914,0.4594176971163857
0.4393074296615784,0.4855190024495011,0.48600062069060357,0.48604112844139113,0.4860329924497921,0.48604112844139113,0.48600062069060357,0.4855190024495011,0.4393074296615784
0.4035094312321028,0.424420742783457,0.4249180295860485,0.42479619537503893,0.4247876566299066,0.42479619537503893,0.4249180295860485,0.424420742783457,0.4035094312321028
0.45697764171582583,0.4692522060937762,0.47279265287510047,0.47246638979647065,0.47248028643292295,0.47246638979647065,0.47279265287510047,0.4692522060937762,0.45697764171582583
0.26457481094664753,0.3059822881010786,0.3019718796840225,0.3021499613826599,0.3020911188797902,0.3021499613826599,0.3019718796840225,0.3059822881010786,0.26457481094664753
